,url,type,date,content,file_info
0,https://www.enedis.fr/media/4107/download,Référentiel clientèle,2024-05-21T09:03:25+02:00,Suite à la délibération de la CRE n° 2024-42 du 15 février 2024; relative à la mise en œuvre de la généralisation des options tarifaires à 4 plages temporelles du TURPE HTA-BT; cette procédure a pour objectif de préciser les modalités de mise en œuvre de la généralisation de l'option tarifaire à 4 plages temporelles.,"Enedis-NMO-CF_007E.pdf, fichier PDF,1.45 Mo"
1,https://www.enedis.fr/media/2164/download,Documentation technique de référence,2024-05-16T00:21:00+02:00,Ce document décrit les études des variations rapides de tension qui sont menées pour le raccordement d’une production décentralisée en HTA.,"Enedis-PRO-RES_12E.pdf, fichier PDF,473.78 Ko"
2,https://www.enedis.fr/media/2073/download,Documentation technique de référence,2024-05-16T00:20:00+02:00,Ce document est le mode d’emploi permettant de remplir les différentes fiches techniques à compléter par un Demandeur dans le cadre d’une demande de raccordement; au Réseau Public de Distribution géré par Enedis; d'une Installation de Production ou susceptible d’injecter et de soutirer; de puissance supérieure à 36 kVA.,"Enedis-OPE-RES_08E.pdf, fichier PDF,918.34 Ko"
3,https://www.enedis.fr/media/1969/download,Documentation technique de référence,2024-05-16T00:19:00+02:00,Les articles D321-10 et suivants; ainsi que les articles D342-62 à 24 du Code de l’énergie relatifs aux Schémas Régionaux de Raccordement au Réseau des Énergies Renouvelables (SRRRER) prévus par l'article L. 321-7 du Code de l’énergie; définissent les conditions de raccordement aux Réseaux Publics d’électricité des Installations de Production d’électricité à partir de sources d’énergies renouvelables.,"Enedis-FOR-RES_062E.pdf, fichier PDF,681.61 Ko"
4,https://www.enedis.fr/media/1968/download,Documentation technique de référence,2024-05-16T00:18:00+02:00,Ce document constitue le modèle de l’Avenant à la Proposition Technique et Financière en application des dispositions de l’article L. 342-6 du Code de l’énergie pour le raccordement au Réseau Public de Distribution d’électricité HTA d’une Installation de Production; ou susceptible d’injecter et de soutirer; pour les cas ne relevant pas d’un Schéma de Raccordement au Réseau des Énergies Renouvelables (SRRRER).,"Enedis-FOR-RES_061E.pdf, fichier PDF,707.91 Ko"
5,https://www.enedis.fr/media/1967/download,Documentation technique de référence,2024-05-16T00:17:00+02:00,Les articles D 321-10 et suivants; ainsi que les articles D 342-22 à 24 du Code de l’énergie relatifs aux Schémas Régionaux de Raccordement au Réseau des Énergies Renouvelables (SRRRER) prévus par l'article L. 321-7 du Code de l'énergie; définissent les conditions de raccordement aux Réseaux Publics d’électricité des Installations de Production d’électricité à partir de sources d’énergies renouvelables.,"Enedis-FOR-RES_058E.pdf, fichier PDF,353.07 Ko"
6,https://www.enedis.fr/media/1966/download,Documentation technique de référence,2024-05-16T00:15:00+02:00,Ce document constitue le modèle d’Avenant L. 342-2 à la Proposition Technique et Financière (PTF) en application des dispositions de l’article L. 342-2 du Code de l’énergie pour le raccordement d’une Installation de Production ou susceptible d’injecter et de soutirer de puissance comprise entre 36 et 250 kVA au Réseau Public de Distribution d’électricité Basse Tension pour les cas ne relevant pas d'un SRRRER.,"Enedis-FOR-RES_057E.pdf, fichier PDF,478.15 Ko"
7,https://www.enedis.fr/media/1965/download,Documentation technique de référence,2024-05-16T00:14:00+02:00,Les articles D. 321-10 et suivants; ainsi que les articles D. 342-22 à 24 du Code de l’énergie relatifs aux Schémas Régionaux de Raccordement au Réseau des Énergies Renouvelables (SRRRER) prévus par l'article L. 321-7 du Code de l'énergie; définissent les conditions de raccordement aux Réseaux Publics d’électricité des Installations de Production d’électricité à partir de sources d’énergies renouvelables.,"Enedis-FOR-RES_052E.pdf, fichier PDF,954.97 Ko"
8,https://www.enedis.fr/media/1993/download,Documentation technique de référence,2024-05-16T00:13:00+02:00,Ce document constitue le modèle de la proposition de raccordement avant complétude du dossier pour le raccordement au Réseau Public de Distribution d’électricité HTA d’une Installation de Production; ou susceptible d’injecter et de soutirer pour les cas ne relevant pas d’un Schéma de Raccordement au Réseau des Énergies Renouvelables (SRRRER) ou d’un volet géographique.,"Enedis-FOR-RES_47E.pdf, fichier PDF,510.6 Ko"
9,https://www.enedis.fr/media/1964/download,Documentation technique de référence,2024-05-16T00:13:00+02:00,Les présentes Conditions Particulières de la Convention de Raccordement Directe; complètent les Conditions Générales en précisant les conditions techniques; financières et les délais de mise à disposition des Ouvrages de Raccordement à réaliser pour le raccordement de l’Installation de Production d’énergie électrique ou susceptible d’injecter et de soutirer raccordée au Réseau Public de Distribution BT.,"Enedis-FOR-RES_051E.pdf, fichier PDF,589.49 Ko"
10,https://www.enedis.fr/media/1992/download,Documentation technique de référence,2024-05-16T00:12:00+02:00,Les articles D321-10 et suivants; ainsi que les articles D342-22 à 24 du Code de l’énergie relatifs aux Schémas Régionaux de Raccordement au Réseau des Énergies Renouvelables (SRRRER) prévus par l'article L321-7 du Code de l'énergie; définissent les conditions de raccordement aux Réseaux Publics d’électricité des Installations de Production d’électricité à partir de sources d’énergies renouvelables.,"Enedis-FOR-RES_46E.pdf, fichier PDF,540.76 Ko"
11,https://www.enedis.fr/media/1988/download,Documentation technique de référence,2024-05-16T00:11:00+02:00,Les présentes Conditions Particulières de la Convention de Raccordement; complètent les Conditions Générales en précisant les spécificités techniques; juridiques; financières et les délais de mise à disposition des Ouvrages de Raccordement à réaliser pour le raccordement de l’Installation de Production d’énergie électrique ou susceptible d’injecter et de soutirer raccordée au Réseau Public de Distribution HTA.,"Enedis-FOR-RES_42E.pdf, fichier PDF,769.21 Ko"
12,https://www.enedis.fr/media/1987/download,Documentation technique de référence,2024-05-16T00:10:00+02:00,Les articles D321-10 et suivants; ainsi que les articles D342-22 à 24 du Code de l’énergie relatifs aux Schémas Régionaux de Raccordement au Réseau des Énergies Renouvelables (SRRRER) prévus par l'article L. 321-7 du Code de l'énergie; définissent les conditions de raccordement aux Réseaux Publics d’électricité des Installations de Production d’électricité à partir de sources d’énergies renouvelables.,"Enedis-FOR-RES_41E.pdf, fichier PDF,783.31 Ko"
13,https://www.enedis.fr/media/1986/download,Documentation technique de référence,2024-05-16T00:09:00+02:00,Les présentes Conditions Particulières de la Convention de Raccordement; complètent les Conditions Générales en précisant les conditions techniques; financières et les délais de mise à disposition des Ouvrages de Raccordement à réaliser pour le raccordement de l’Installation de Production d’énergie électrique ou susceptible d’injecter et de soutirer raccordée au Réseau Public de Distribution BT.,"Enedis-FOR-RES_40E.pdf, fichier PDF,513.89 Ko"
14,https://www.enedis.fr/media/1985/download,Documentation technique de référence,2024-05-16T00:08:00+02:00,Les articles D321-10 et suivants; ainsi que les articles D342-22 à 24 du Code de l’énergie relatifs aux Schémas Régionaux de Raccordement au Réseau des Énergies Renouvelables (SRRRER) prévus par l'article L. 321-7 du Code de l'énergie; définissent les conditions de raccordement aux Réseaux Publics d’électricité des Installations de Production d’électricité à partir de sources d’énergies renouvelables.,"Enedis-FOR-RES_39E.pdf, fichier PDF,589.44 Ko"
15,https://www.enedis.fr/media/1984/download,Documentation technique de référence,2024-05-16T00:07:00+02:00,Les présentes Conditions Particulières de la Convention de Raccordement Directe; complètent les Conditions Générales en précisant les conditions techniques; financières et les délais de mise à disposition des Ouvrages de Raccordement à réaliser pour le raccordement de l’Installation de Production d’énergie électrique ou susceptible d’injecter et de soutirer raccordée au Réseau Public de Distribution BT.,"Enedis-FOR-RES_38E.pdf, fichier PDF,640.26 Ko"
16,https://www.enedis.fr/media/1983/download,Documentation technique de référence,2024-05-16T00:06:00+02:00,Les articles D321-10 et suivants; ainsi que les articles D342-22 à 24 du Code de l’énergie relatifs aux Schémas Régionaux de Raccordement au Réseau des Energies Renouvelables (SRRRER) prévus par l'article L321-7 du Code de l'énergie; définissent les conditions de raccordement aux Réseaux Publics d’électricité des Installations de Production d’électricité à partir de sources d’énergies renouvelables.,"Enedis-FOR-RES_37E.pdf, fichier PDF,606.04 Ko"
17,https://www.enedis.fr/media/1979/download,Documentation technique de référence,2024-05-16T00:05:00+02:00,Les articles D321-10 et suivants; ainsi que les articles D342-22 à 24 du Code de l’énergie relatifs aux Schémas Régionaux de Raccordement au Réseau des Energies Renouvelables (SRRRER) prévus par l'article L321-7 du Code de l'énergie; définissent les conditions de raccordement aux Réseaux Publics d’électricité des Installations de Production d’électricité à partir de sources d’énergies renouvelables.,"Enedis-FOR-RES_24E.pdf, fichier PDF,565.36 Ko"
